T	NOAA NCDC DAILY FSOD AWND
julian_day	mph
   5.9841050E-41	   10.000000    
   5.9842451E-41	    9.200000    
   5.9843852E-41	    11.20000    
   5.9845254E-41	    9.600000    
   5.9846655E-41	    9.600000    
   5.9848056E-41	    4.900000    
   5.9849457E-41	    3.800000    
   5.9850859E-41	    12.20000    
   5.9852260E-41	    4.100000    
   5.9853661E-41	    3.600000    
   5.9855063E-41	    6.200000    
   5.9856464E-41	    6.300000    
   5.9857865E-41	    6.200000    
   5.9859267E-41	    5.900000    
   5.9860668E-41	    3.900000    
   5.9862069E-41	    3.000000    
   5.9863470E-41	    8.500000    
   5.9864872E-41	    14.80000    
   5.9866273E-41	    7.400000    
   5.9867674E-41	    6.200000    
   5.9869076E-41	    5.500000    
   5.9870477E-41	    5.900000    
   5.9871878E-41	    11.20000    
   5.9873279E-41	    11.70000    
   5.9874681E-41	    12.10000    
   5.9876082E-41	    11.00000    
   5.9877483E-41	    6.900000    
   5.9878885E-41	    7.500000    
   5.9880286E-41	    11.30000    
   5.9881687E-41	    7.900000    
   5.9883089E-41	    10.70000    
   5.9884490E-41	    11.10000    
   5.9885891E-41	    20.60000    
   5.9887292E-41	    16.50000    
   5.9888694E-41	    5.200000    
   5.9890095E-41	    11.40000    
   5.9891496E-41	    10.90000    
   5.9892898E-41	    9.300000    
   5.9894299E-41	    10.50000    
   5.9895700E-41	    3.600000    
   5.9897102E-41	    9.600000    
   5.9898503E-41	    12.10000    
   5.9899904E-41	    8.100000    
   5.9901305E-41	    11.40000    
   5.9902707E-41	    14.70000    
   5.9904108E-41	    11.40000    
   5.9905509E-41	    18.90000    
   5.9906911E-41	    5.400000    
   5.9908312E-41	    3.600000    
   5.9909713E-41	    9.400001    
   5.9911115E-41	    15.60000    
   5.9912516E-41	    11.60000    
   5.9913917E-41	    3.800000    
   5.9915318E-41	    15.30000    
   5.9916720E-41	    12.90000    
   5.9918121E-41	    10.80000    
   5.9919522E-41	    5.500000    
   5.9920924E-41	    6.900000    
   5.9922325E-41	    9.200000    
   5.9923726E-41	    8.400001    
   5.9925128E-41	    9.800000    
   5.9926529E-41	    12.40000    
   5.9927930E-41	    8.800000    
   5.9929331E-41	    9.800000    
   5.9930733E-41	    3.900000    
   5.9932134E-41	    4.900000    
   5.9933535E-41	    7.800000    
   5.9934937E-41	    5.600000    
   5.9936338E-41	    3.100000    
   5.9937739E-41	    7.700000    
   5.9939141E-41	    9.200000    
   5.9940542E-41	    7.200000    
   5.9941943E-41	    14.90000    
   5.9943344E-41	    14.00000    
   5.9944746E-41	    14.50000    
   5.9946147E-41	    4.900000    
   5.9947548E-41	    2.200000    
   5.9948950E-41	    6.000000    
   5.9950351E-41	    10.40000    
   5.9951752E-41	    9.100000    
   5.9953153E-41	    4.200000    
   5.9954555E-41	    8.300000    
   5.9955956E-41	    15.60000    
   5.9957357E-41	    11.20000    
   5.9958759E-41	    8.600000    
   5.9960160E-41	    6.200000    
   5.9961561E-41	    11.40000    
   5.9962963E-41	    3.500000    
   5.9964364E-41	    3.700000    
   5.9965765E-41	    5.000000    
   5.9967166E-41	    5.200000    
   5.9968568E-41	    4.600000    
   5.9969969E-41	    2.300000    
   5.9971370E-41	    7.200000    
   5.9972772E-41	    11.80000    
   5.9974173E-41	    5.300000    
   5.9975574E-41	    10.20000    
   5.9976976E-41	    10.80000    
   5.9978377E-41	    12.10000    
   5.9979778E-41	    11.50000    
   5.9981179E-41	    11.40000    
   5.9982581E-41	    6.600000    
   5.9983982E-41	    10.60000    
   5.9985383E-41	    5.100000    
   5.9986785E-41	    6.000000    
   5.9988186E-41	    5.800000    
   5.9989587E-41	    5.400000    
   5.9990989E-41	    9.400001    
   5.9992390E-41	   10.000000    
   5.9993791E-41	    6.200000    
